"Periodo(MMM, AAAA)";"Inflación sin alimentos";"Inflación sin alimentos ni regulados";"Inflación núcleo 15"
"1983/03/31";19,9;18,3;23,53
"1983/04/30";18,47;16,87;23,33
"1983/05/31";17,82;15,96;22,7
"1983/06/30";17,67;15,92;21,12
"1983/07/31";16,95;14,63;20,64
"1983/08/31";16,76;14,52;20,02
"1983/09/30";17,22;14,99;19,96
"1983/10/31";17,06;14,7;19,59
"1983/11/30";17,28;15;18,98
"1983/12/31";16,3;15,25;17,61
"1984/01/31";16,98;14,97;17,89
"1984/02/29";17,02;14,84;17,83
"1984/03/31";16,48;14,38;16,79
"1984/04/30";16,79;14,75;15,72
"1984/05/31";16,99;15,08;15,36
"1984/06/30";16,91;15,02;15,77
"1984/07/31";17,6;16,24;16,19
"1984/08/31";17,25;15,85;16,15
"1984/09/30";17,34;16,07;16,33
"1984/10/31";17,11;15,91;15,66
"1984/11/30";17,45;15,35;16,31
"1984/12/31";17;14,71;17,31
"1985/01/31";16,04;14,76;16,98
"1985/02/28";16,1;15,13;17,37
"1985/03/31";16,46;15,47;18,42
"1985/04/30";17,06;16,19;19,61
"1985/05/31";17,46;16,59;20,99
"1985/06/30";17,43;16,39;21,02
"1985/07/31";17,12;15,9;20,69
"1985/08/31";17,53;16,19;21,15
"1985/09/30";17,99;16,64;21,83
"1985/10/31";18;16,51;22,48
"1985/11/30";17,36;16,87;21,67
"1985/12/31";17,33;16,97;21,12
"1986/01/31";19,27;17,97;22,12
"1986/02/28";19,54;18,09;22
"1986/03/31";19,12;18;21,1
"1986/04/30";19,74;18,5;22,04
"1986/05/31";18,06;16,91;18,98
"1986/06/30";18,09;17,03;18,54
"1986/07/31";17,63;16,46;18,49
"1986/08/31";17,71;16,73;19,05
"1986/09/30";17,2;16,09;18,72
"1986/10/31";17,97;17,15;19,36
"1986/11/30";17,71;16,77;20,04
"1986/12/31";17,74;16,55;20,74
"1987/01/31";17,35;15,52;21,94
"1987/02/28";17,7;16,1;22,38
"1987/03/31";18,61;16,76;22,91
"1987/04/30";17,53;15,69;21,51
"1987/05/31";18,74;16,79;24,5
"1987/06/30";19,07;17,1;25,17
"1987/07/31";19,27;17,36;25,89
"1987/08/31";19,07;17,12;24,96
"1987/09/30";19,22;17,34;24,84
"1987/10/31";18,88;16,94;24,31
"1987/11/30";19,16;17,32;24,08
"1987/12/31";20,41;17,5;24,3
"1988/01/31";19,88;18,16;22,96
"1988/02/29";21,1;19,76;23,95
"1988/03/31";21,23;19,82;23,86
"1988/04/30";22,24;20,6;24,6
"1988/05/31";22,41;20,78;23,61
"1988/06/30";22,49;20,95;23,25
"1988/07/31";22,97;21,67;23,03
"1988/08/31";23,91;22,5;23,68
"1988/09/30";24,37;22,97;24,38
"1988/10/31";24,52;23,08;24,39
"1988/11/30";25,16;23,42;24,15
"1988/12/31";24,29;23,37;24,03
"1989/01/31";25,49;24,07;24,71
"1989/02/28";25,82;22,64;24,65
"1989/03/31";25,44;23,44;25,54
"1989/04/30";26,25;24,33;25,76
"1989/05/31";26,75;24,84;26,09
"1989/06/30";27,31;25,41;26,81
"1989/07/31";27,71;25,43;27,16
"1989/08/31";27,47;25,44;27,44
"1989/09/30";27,84;25,96;27,2
"1989/10/31";28,1;26,32;27,45
"1989/11/30";27,79;26,34;27,76
"1989/12/31";27,82;26,85;27,48
"1990/01/31";28,97;27,15;28,45
"1990/02/28";29,59;27,77;28,53
"1990/03/31";29,9;28,25;27,98
"1990/04/30";29,65;28,48;27,51
"1990/05/31";29,85;28,82;27,9
"1990/06/30";30,09;29,21;28,26
"1990/07/31";29,7;29,11;27,91
"1990/08/31";29,9;29,22;28,15
"1990/09/30";30,74;29,65;28,94
"1990/10/31";30,86;29,79;28,88
"1990/11/30";31,22;30,22;29,13
"1990/12/31";32,24;30,49;30,27
"1991/01/31";31,4;30,31;29,69
"1991/02/28";31,33;30,31;29,7
"1991/03/31";31,19;30,08;29,66
"1991/04/30";31,41;30,25;29,74
"1991/05/31";31,47;30,26;29,55
"1991/06/30";30,94;29,58;29,04
"1991/07/31";31,35;29,36;29,42
"1991/08/31";30,98;28,8;29,07
"1991/09/30";30,05;28,22;28,47
"1991/10/31";29,58;27,63;28,19
"1991/11/30";28,99;26,97;27,43
"1991/12/31";27,58;26,4;26,13
"1992/01/31";28,17;26,25;26,81
"1992/02/29";27,72;25,51;26,66
"1992/03/31";27,11;24,86;26,19
"1992/04/30";26,39;24,13;25,71
"1992/05/31";25,73;23,63;25,42
"1992/06/30";25,72;23,76;25,46
"1992/07/31";25,08;23,75;25,2
"1992/08/31";24,72;23,52;25
"1992/09/30";24,39;23,19;24,53
"1992/10/31";24,19;22,85;24,26
"1992/11/30";24,05;22,65;23,99
"1992/12/31";23,99;22,57;23,72
"1993/01/31";24,03;23,12;23,8
"1993/02/28";24,8;23,77;24,02
"1993/03/31";25,01;24,09;24,01
"1993/04/30";24,95;24,01;23,74
"1993/05/31";25,53;24,32;23,63
"1993/06/30";25,9;24,59;23,38
"1993/07/31";26,17;24,8;23,1
"1993/08/31";26,87;25,28;23,4
"1993/09/30";26,78;25,25;23,29
"1993/10/31";26,88;25,5;23,39
"1993/11/30";26,95;25,62;23,69
"1993/12/31";26,76;25,32;23,71
"1994/01/31";26,05;24,96;23,3
"1994/02/28";25,51;24,18;23,22
"1994/03/31";25,42;24,08;23,27
"1994/04/30";25,15;23,89;23,37
"1994/05/31";24,64;23,39;23,13
"1994/06/30";23,88;22,63;22,63
"1994/07/31";23,5;22,24;22,38
"1994/08/31";22,58;21,48;21,64
"1994/09/30";22,58;21,45;21,55
"1994/10/31";22,48;21,41;21,4
"1994/11/30";22,3;21,17;21,24
"1994/12/31";22,42;21,48;21,47
"1995/01/31";21,24;21,39;19,92
"1995/02/28";21,29;21,64;19,69
"1995/03/31";21,74;21,66;20,05
"1995/04/30";21,82;21,57;20,21
"1995/05/31";21,78;21,54;20,29
"1995/06/30";22,15;21,98;20,49
"1995/07/31";22,14;22,03;20,16
"1995/08/31";22,22;22,14;20,18
"1995/09/30";21,8;21,7;19,87
"1995/10/31";21,75;21,7;19,77
"1995/11/30";21,52;21,47;19,56
"1995/12/31";21,04;20,89;19,02
"1996/01/31";21,33;20,83;19,79
"1996/02/29";22,12;21,17;20,34
"1996/03/31";22;20,87;20,13
"1996/04/30";22,5;20,87;19,91
"1996/05/31";23;20,98;19,87
"1996/06/30";22,99;20,39;19,9
"1996/07/31";23,35;20,32;20,43
"1996/08/31";23,55;20,42;20,48
"1996/09/30";23,82;20,54;20,74
"1996/10/31";23,61;20,18;20,61
"1996/11/30";23,25;19,87;20,18
"1996/12/31";23,18;19,79;19,98
"1997/01/31";22,85;19,31;19,31
"1997/02/28";22,13;18,44;18,28
"1997/03/31";21,35;18,31;18,14
"1997/04/30";20,77;18,23;18,03
"1997/05/31";20,08;17,83;17,98
"1997/06/30";19,66;17,65;17,83
"1997/07/31";18,87;17,08;17,12
"1997/08/31";18,44;16,58;16,91
"1997/09/30";18,08;16,4;16,75
"1997/10/31";17,74;16,09;16,62
"1997/11/30";17,93;16,18;17,03
"1997/12/31";18,23;16,38;17,35
"1998/01/31";18,05;16,14;17,28
"1998/02/28";17,4;16,18;17,74
"1998/03/31";17,6;15,79;18,01
"1998/04/30";17,32;15,34;17,92
"1998/05/31";17,1;15,14;17,45
"1998/06/30";16,79;15,08;17,25
"1998/07/31";16,86;15,4;17,41
"1998/08/31";16,63;15,31;17,24
"1998/09/30";16,75;15,13;17,18
"1998/10/31";17,2;15,2;17,25
"1998/11/30";17,02;14,96;16,81
"1998/12/31";17,09;14,66;16,59
"1999/01/31";17,09;14,87;16,47
"1999/02/28";15,16;13,86;15,35
"1999/03/31";14,4;13,39;13,92
"1999/04/30";13,99;12,68;12,98
"1999/05/31";13,29;11,64;12,12
"1999/06/30";12,93;10,99;11,46
"1999/07/31";12,44;10,21;10,69
"1999/08/31";12,17;9,83;10,38
"1999/09/30";11,37;9,24;9,64
"1999/10/31";10,73;8,85;9,13
"1999/11/30";10,51;8,65;8,98
"1999/12/31";9,72;8,16;8,45
"2000/01/31";8,96;7,6;7,52
"2000/02/29";9,31;7,92;7,43
"2000/03/31";9,63;7,99;7,67
"2000/04/30";9,3;7,47;7,4
"2000/05/31";9,36;7,68;7,66
"2000/06/30";9,1;7,47;7,76
"2000/07/31";9,09;7,43;7,93
"2000/08/31";9,05;7,3;7,75
"2000/09/30";9,16;7,52;7,93
"2000/10/31";8,85;7,25;7,68
"2000/11/30";8,77;7,04;7,67
"2000/12/31";8,92;7,32;7,93
"2001/01/31";8,61;6,99;7,67
